id,name,ticker,currentprice,change,lastprice,percent,updated
1,L&TFH,L&TFH,70,-60,130,-46,TRUE
2,PEL,PEL,2240,130,2110,6,TRUE
3,ADANIPORTS,ADANIPORTS,350,-30,380,-8,TRUE
4,HINDPETRO,HINDPETRO,270,110,160,69,TRUE
5,HDFC,HDFC,2000,-150,2150,-7,TRUE
6,BAJFINANCE,BAJFINANCE,350,20,330,6,TRUE
7,YESBANK,YESBANK,60,-10,70,-14,TRUE
8,ULTRACEMCO,ULTRACEMCO,310,-100,410,-24,TRUE
9,ASHOKLEY,ASHOKLEY,70,0,70,0,TRUE
10,DLF,DLF,170,10,160,6,TRUE
11,ICICIBANK,ICICIBANK,420,120,300,40,TRUE
12,HDFCBANK,HDFCBANK,2400,130,2270,6,TRUE
13,BAJAJFINSV,BAJAJFINSV,750,-30,780,-4,TRUE
14,BHEL,BHEL,65,25,40,63,TRUE
15,LT,LT,1420,180,1240,15,TRUE
16,DMART,DMART,1610,70,1540,5,TRUE
17,ABB,ABB,1460,30,1430,2,TRUE
18,ZEEL,ZEEL,330,50,280,18,TRUE
19,ICICIPRULI,ICICIPRULI,400,0,400,0,TRUE
20,IBULHSGFIN,IBULHSGFIN,510,0,510,0,TRUE
21,BOSCHLTD,BOSCHLTD,1190,150,1040,14,TRUE
22,UBL,UBL,1160,-100,1260,-8,TRUE
23,DIVISLAB,DIVISLAB,1630,0,1630,0,TRUE
24,HDFCAMC,HDFCAMC,2250,500,1750,29,TRUE
25,SBIN,SBIN,290,0,290,0,TRUE
26,KOTAKBANK,KOTAKBANK,1520,0,1520,0,TRUE
27,PETRONET,PETRONET,250,-100,350,-29,TRUE
28,AXISBANK,AXISBANK,890,100,790,13,TRUE
29,AMBUJACEM,AMBUJACEM,200,0,200,0,TRUE
30,NIACL,NIACL,110,0,110,0,TRUE
31,TITAN,TITAN,1410,100,1310,8,TRUE
32,ITC,ITC,340,100,240,42,TRUE
33,INDUSINDBK,INDUSINDBK,1060,-300,1360,-22,TRUE
34,BRITANNIA,BRITANNIA,180,-70,250,-28,TRUE
35,IOC,IOC,130,-60,190,-32,TRUE
36,SIEMENS,SIEMENS,1180,100,1080,9,TRUE
37,INDIGO,INDIGO,1690,0,1690,0,TRUE
38,DABUR,DABUR,350,-90,440,-20,TRUE
39,ICICIGI,ICICIGI,760,-50,810,-6,TRUE
40,BANDHANBNK,BANDHANBNK,500,20,480,4,TRUE
41,GRASIM,GRASIM,720,-20,740,-3,TRUE
42,GICRE,GICRE,160,-10,170,-6,TRUE
43,LUPIN,LUPIN,810,50,760,7,TRUE
44,MRF,MRF,630,40,590,7,TRUE
45,ACC,ACC,1410,-90,1500,-6,TRUE
46,SAIL,SAIL,30,0,30,0,TRUE
47,M&M,M&M,560,10,550,2,TRUE
48,PIDILITIND,PIDILITIND,1360,-30,1390,-2,TRUE
49,SHREECEM,SHREECEM,190,0,190,0,TRUE
50,NTPC,NTPC,120,0,120,0,TRUE
51,GODREJCP,GODREJCP,630,20,610,3,TRUE
52,HINDZINC,HINDZINC,220,10,210,5,TRUE
53,BPCL,BPCL,350,110,240,46,TRUE
54,HDFCLIFE,HDFCLIFE,360,-80,440,-18,TRUE
55,BANKBARODA,BANKBARODA,100,0,100,0,TRUE
56,ONGC,ONGC,110,-20,130,-15,TRUE
57,MCDOWELL-N,MCDOWELL-N,670,70,600,12,TRUE
58,GAIL,GAIL,110,-20,130,-15,TRUE
59,EICHERMOT,EICHERMOT,170,10,160,6,TRUE
60,HINDUNILVR,HINDUNILVR,2000,120,1880,6,TRUE
61,DRREDDY,DRREDDY,300,10,290,3,TRUE
62,TECHM,TECHM,730,40,690,6,TRUE
63,BHARTIARTL,BHARTIARTL,370,10,360,3,TRUE
64,COLPAL,COLPAL,1250,240,1010,24,TRUE
65,TCS,TCS,2460,180,2280,8,TRUE
66,HAVELLS,HAVELLS,620,-50,670,-7,TRUE
67,SBILIFE,SBILIFE,870,30,840,4,TRUE
