id,name,ticker,currentprice,change,lastprice,updated,percent
1,L&TFH,L&TFH,85,-5,90,True,-6
2,PEL,PEL,2060,360,1700,True,21
3,ADANIPORTS,ADANIPORTS,200,-100,300,True,-33
4,HINDPETRO,HINDPETRO,310,10,300,True,3
5,HDFC,HDFC,2590,150,2440,True,6
6,BAJFINANCE,BAJFINANCE,380,10,370,True,3
7,YESBANK,YESBANK,70,20,50,True,40
8,ULTRACEMCO,ULTRACEMCO,410,0,410,True,0
9,ASHOKLEY,ASHOKLEY,80,0,80,True,0
10,DLF,DLF,160,-10,170,True,-6
11,ICICIBANK,ICICIBANK,440,20,420,True,5
12,HDFCBANK,HDFCBANK,2610,-110,2720,True,-4
13,BAJAJFINSV,BAJAJFINSV,620,-40,660,True,-6
14,BHEL,BHEL,60,10,50,True,20
15,LT,LT,1350,-100,1450,True,-7
16,DMART,DMART,1560,170,1390,True,12
17,ABB,ABB,1450,-70,1520,True,-5
18,ZEEL,ZEEL,420,0,420,True,0
19,ICICIPRULI,ICICIPRULI,340,-30,370,True,-8
20,IBULHSGFIN,IBULHSGFIN,470,20,450,True,4
21,BOSCHLTD,BOSCHLTD,1310,20,1290,True,2
22,UBL,UBL,1450,50,1400,True,4
23,DIVISLAB,DIVISLAB,1720,70,1650,True,4
24,HDFCAMC,HDFCAMC,2400,-50,2450,True,-2
25,SBIN,SBIN,310,20,290,True,7
26,KOTAKBANK,KOTAKBANK,1470,70,1400,True,5
27,PETRONET,PETRONET,270,70,200,True,35
28,AXISBANK,AXISBANK,640,-20,660,True,-3
29,AMBUJACEM,AMBUJACEM,190,-10,200,True,-5
30,NIACL,NIACL,130,10,120,True,8
31,TITAN,TITAN,1270,60,1210,True,5
32,ITC,ITC,360,60,300,True,20
33,INDUSINDBK,INDUSINDBK,1200,0,1200,True,0
34,BRITANNIA,BRITANNIA,280,30,250,True,12
35,IOC,IOC,130,10,120,True,8
36,SIEMENS,SIEMENS,1460,90,1370,True,7
37,INDIGO,INDIGO,1650,-140,1790,True,-8
38,DABUR,DABUR,410,-10,420,True,-2
39,ICICIGI,ICICIGI,1140,20,1120,True,2
40,BANDHANBNK,BANDHANBNK,430,-100,530,True,-19
41,GRASIM,GRASIM,720,20,700,True,3
42,GICRE,GICRE,180,80,100,True,80
43,LUPIN,LUPIN,910,-80,990,True,-8
44,MRF,MRF,720,-30,750,True,-4
45,ACC,ACC,1580,60,1520,True,4
46,SAIL,SAIL,40,10,30,True,33
47,M&M,M&M,720,20,700,True,3
48,PIDILITIND,PIDILITIND,1360,-60,1420,True,-4
49,SHREECEM,SHREECEM,200,10,190,True,5
50,NTPC,NTPC,120,0,120,True,0
51,GODREJCP,GODREJCP,560,30,530,True,6
52,HINDZINC,HINDZINC,230,10,220,True,5
53,BPCL,BPCL,380,-20,400,True,-5
54,HDFCLIFE,HDFCLIFE,520,20,500,True,4
55,BANKBARODA,BANKBARODA,120,0,120,True,0
56,ONGC,ONGC,120,0,120,True,0
57,MCDOWELL-N,MCDOWELL-N,610,-20,630,True,-3
58,GAIL,GAIL,120,0,120,True,0
59,EICHERMOT,EICHERMOT,160,0,160,True,0
60,HINDUNILVR,HINDUNILVR,2420,130,2290,True,6
61,DRREDDY,DRREDDY,300,20,280,True,7
62,TECHM,TECHM,750,20,730,True,3
63,BHARTIARTL,BHARTIARTL,370,0,370,True,0
64,COLPAL,COLPAL,1230,0,1230,True,0
65,TCS,TCS,2460,0,2460,True,0
66,HAVELLS,HAVELLS,560,-60,620,True,-10
67,SBILIFE,SBILIFE,940,20,920,True,2
68,SRTRANSFIN,SRTRANSFIN,980,-20,1000,True,-2
69,ASIANPAINT,ASIANPAINT,1390,170,1220,True,14
70,HCLTECH,HCLTECH,1070,-50,1120,True,-4
71,CONCOR,CONCOR,520,-20,540,True,-4
72,BAJAJHLDNG,BAJAJHLDNG,360,10,350,True,3
73,COALINDIA,COALINDIA,200,20,180,True,11
74,INFY,INFY,740,120,620,True,19
75,CIPLA,CIPLA,560,10,550,True,2
76,OFSS,OFSS,350,-10,360,True,-3
77,POWERGRID,POWERGRID,190,0,190,True,0
78,NHPC,NHPC,30,0,30,True,0
79,UPL,UPL,540,-70,610,True,-11
80,TATAMTRDVR,TATAMTRDVR,70,0,70,True,0
81,CADILAHC,CADILAHC,210,0,210,True,0
82,BAJAJ-AUTO,BAJAJ-AUTO,2110,90,2020,True,4
83,PAGEIND,PAGEIND,1720,0,1720,True,0
84,MARUTI,MARUTI,730,0,730,True,0
85,TATAMOTORS,TATAMOTORS,140,10,130,True,8
86,MARICO,MARICO,420,10,410,True,2
87,MOTHERSUMI,MOTHERSUMI,100,0,100,True,0
88,NMDC,NMDC,100,0,100,True,0
89,INFRATEL,INFRATEL,230,10,220,True,5
90,HINDALCO,HINDALCO,160,0,160,True,0
91,RELIANCE,RELIANCE,1840,100,1740,True,6
92,WIPRO,WIPRO,270,-30,300,True,-10
93,BIOCON,BIOCON,240,0,240,True,0
94,AUROPHARMA,AUROPHARMA,680,20,660,True,3
95,SUNPHARMA,SUNPHARMA,430,0,430,True,0
96,HEROMOTOCO,HEROMOTOCO,350,0,350,True,0
97,TATASTEEL,TATASTEEL,370,0,370,True,0
98,VEDL,VEDL,130,20,110,True,18
99,IDEA,IDEA,90,10,80,True,13
100,JSWSTEEL,JSWSTEEL,250,10,240,True,4
101,PGHH,PGHH,1120,40,1080,True,4
