id,name,ticker,currentprice,change,lastprice,updated,percent
1,L&TFH,L&TFH,95,-15,110,True,-14
2,PEL,PEL,2100,-60,2160,True,-3
3,ADANIPORTS,ADANIPORTS,340,20,320,True,6
4,HINDPETRO,HINDPETRO,280,-20,300,True,-7
5,HDFC,HDFC,2590,-160,2750,True,-6
6,BAJFINANCE,BAJFINANCE,390,-30,420,True,-7
7,YESBANK,YESBANK,60,10,50,True,20
8,ULTRACEMCO,ULTRACEMCO,390,-20,410,True,-5
9,ASHOKLEY,ASHOKLEY,80,-20,100,True,-20
10,DLF,DLF,160,-20,180,True,-11
11,ICICIBANK,ICICIBANK,460,10,450,True,2
12,HDFCBANK,HDFCBANK,2690,-390,3080,True,-13
13,BAJAJFINSV,BAJAJFINSV,660,60,600,True,10
14,BHEL,BHEL,70,20,50,True,40
15,LT,LT,1360,-90,1450,True,-6
16,DMART,DMART,1850,-150,2000,True,-8
17,ABB,ABB,1400,-20,1420,True,-1
18,ZEEL,ZEEL,460,-10,470,True,-2
19,ICICIPRULI,ICICIPRULI,320,0,320,True,0
20,IBULHSGFIN,IBULHSGFIN,560,-250,810,True,-31
21,BOSCHLTD,BOSCHLTD,1250,50,1200,True,4
22,UBL,UBL,1530,60,1470,True,4
23,DIVISLAB,DIVISLAB,1760,70,1690,True,4
24,HDFCAMC,HDFCAMC,2490,170,2320,True,7
25,SBIN,SBIN,310,10,300,True,3
26,KOTAKBANK,KOTAKBANK,1470,60,1410,True,4
27,PETRONET,PETRONET,250,0,250,True,0
28,AXISBANK,AXISBANK,610,110,500,True,22
29,AMBUJACEM,AMBUJACEM,200,0,200,True,0
30,NIACL,NIACL,130,0,130,True,0
31,TITAN,TITAN,1350,-40,1390,True,-3
32,ITC,ITC,390,-30,420,True,-7
33,INDUSINDBK,INDUSINDBK,1340,120,1220,True,10
34,BRITANNIA,BRITANNIA,300,-10,310,True,-3
35,IOC,IOC,130,10,120,True,8
36,SIEMENS,SIEMENS,1600,100,1500,True,7
37,INDIGO,INDIGO,1480,-70,1550,True,-5
38,DABUR,DABUR,390,20,370,True,5
39,ICICIGI,ICICIGI,1070,-60,1130,True,-5
40,BANDHANBNK,BANDHANBNK,520,-20,540,True,-4
41,GRASIM,GRASIM,690,10,680,True,1
42,GICRE,GICRE,140,30,110,True,27
43,LUPIN,LUPIN,830,-410,1240,True,-33
44,MRF,MRF,740,-80,820,True,-10
45,ACC,ACC,1640,10,1630,True,1
46,SAIL,SAIL,10,-20,30,True,-67
47,M&M,M&M,720,80,640,True,13
48,PIDILITIND,PIDILITIND,1390,0,1390,True,0
49,SHREECEM,SHREECEM,200,-10,210,True,-5
50,NTPC,NTPC,130,10,120,True,8
51,GODREJCP,GODREJCP,570,70,500,True,14
52,HINDZINC,HINDZINC,230,-10,240,True,-4
53,BPCL,BPCL,410,-30,440,True,-7
54,HDFCLIFE,HDFCLIFE,420,-170,590,True,-29
55,BANKBARODA,BANKBARODA,140,20,120,True,17
56,ONGC,ONGC,130,20,110,True,18
57,MCDOWELL-N,MCDOWELL-N,650,-120,770,True,-16
58,GAIL,GAIL,120,10,110,True,9
59,EICHERMOT,EICHERMOT,160,10,150,True,7
60,HINDUNILVR,HINDUNILVR,2470,-330,2800,True,-12
61,DRREDDY,DRREDDY,300,0,300,True,0
62,TECHM,TECHM,790,-30,820,True,-4
63,BHARTIARTL,BHARTIARTL,340,-30,370,True,-8
64,COLPAL,COLPAL,1230,-40,1270,True,-3
65,TCS,TCS,2790,160,2630,True,6
66,HAVELLS,HAVELLS,570,60,510,True,12
67,SBILIFE,SBILIFE,970,-40,1010,True,-4
68,SRTRANSFIN,SRTRANSFIN,980,-30,1010,True,-3
69,ASIANPAINT,ASIANPAINT,1550,-30,1580,True,-2
70,HCLTECH,HCLTECH,1070,-50,1120,True,-4
71,CONCOR,CONCOR,320,-230,550,True,-42
72,BAJAJHLDNG,BAJAJHLDNG,360,0,360,True,0
73,COALINDIA,COALINDIA,200,0,200,True,0
74,INFY,INFY,870,20,850,True,2
75,CIPLA,CIPLA,570,-40,610,True,-7
76,OFSS,OFSS,340,-20,360,True,-6
77,POWERGRID,POWERGRID,190,0,190,True,0
78,NHPC,NHPC,40,10,30,True,33
79,UPL,UPL,520,30,490,True,6
80,TATAMTRDVR,TATAMTRDVR,55,-20,75,True,-27
81,CADILAHC,CADILAHC,200,0,200,True,0
82,BAJAJ-AUTO,BAJAJ-AUTO,1910,-80,1990,True,-4
83,PAGEIND,PAGEIND,1660,20,1640,True,1
84,MARUTI,MARUTI,730,-20,750,True,-3
85,TATAMOTORS,TATAMOTORS,130,20,110,True,18
86,MARICO,MARICO,430,0,430,True,0
87,MOTHERSUMI,MOTHERSUMI,110,-20,130,True,-15
88,NMDC,NMDC,100,-10,110,True,-9
89,INFRATEL,INFRATEL,210,20,190,True,11
90,HINDALCO,HINDALCO,170,30,140,True,21
91,RELIANCE,RELIANCE,1970,130,1840,True,7
92,WIPRO,WIPRO,270,-40,310,True,-13
93,BIOCON,BIOCON,250,-10,260,True,-4
94,AUROPHARMA,AUROPHARMA,720,0,720,True,0
95,SUNPHARMA,SUNPHARMA,280,-10,290,True,-3
96,HEROMOTOCO,HEROMOTOCO,360,-30,390,True,-8
97,TATASTEEL,TATASTEEL,370,-10,380,True,-3
98,VEDL,VEDL,170,40,130,True,31
99,IDEA,IDEA,80,-10,90,True,-11
100,JSWSTEEL,JSWSTEEL,260,-20,280,True,-7
101,PGHH,PGHH,1050,-70,1120,True,-6
