id,name,ticker,currentprice,change,lastprice,updated,percent
1,L&TFH,L&TFH,200,10,190,True,5
2,PEL,PEL,1900,-260,2160,True,-12
3,ADANIPORTS,ADANIPORTS,330,5,325,True,2
4,HINDPETRO,HINDPETRO,310,10,300,True,3
5,HDFC,HDFC,3030,120,2910,True,4
6,BAJFINANCE,BAJFINANCE,370,0,370,True,0
7,YESBANK,YESBANK,50,30,20,True,150
8,ULTRACEMCO,ULTRACEMCO,330,-10,340,True,-3
9,ASHOKLEY,ASHOKLEY,60,0,60,True,0
10,DLF,DLF,100,-90,190,True,-47
11,ICICIBANK,ICICIBANK,530,10,520,True,2
12,HDFCBANK,HDFCBANK,3530,230,3300,True,7
13,BAJAJFINSV,BAJAJFINSV,750,10,740,True,1
14,BHEL,BHEL,90,10,80,True,13
15,LT,LT,1260,-50,1310,True,-4
16,DMART,DMART,2200,240,1960,True,12
17,ABB,ABB,1190,-80,1270,True,-6
18,ZEEL,ZEEL,430,0,430,True,0
19,ICICIPRULI,ICICIPRULI,290,-10,300,True,-3
20,IBULHSGFIN,IBULHSGFIN,510,-110,620,True,-18
21,BOSCHLTD,BOSCHLTD,1270,10,1260,True,1
22,UBL,UBL,1890,110,1780,True,6
23,DIVISLAB,DIVISLAB,1970,40,1930,True,2
24,HDFCAMC,HDFCAMC,2690,-50,2740,True,-2
25,SBIN,SBIN,210,0,210,True,0
26,KOTAKBANK,KOTAKBANK,1700,0,1700,True,0
27,PETRONET,PETRONET,350,20,330,True,6
28,AXISBANK,AXISBANK,670,40,630,True,6
29,AMBUJACEM,AMBUJACEM,220,10,210,True,5
30,NIACL,NIACL,140,0,140,True,0
31,TITAN,TITAN,1350,-60,1410,True,-4
32,ITC,ITC,380,0,380,True,0
33,INDUSINDBK,INDUSINDBK,1270,-180,1450,True,-12
34,BRITANNIA,BRITANNIA,320,0,320,True,0
35,IOC,IOC,160,10,150,True,7
36,SIEMENS,SIEMENS,1540,-60,1600,True,-4
37,INDIGO,INDIGO,1500,-180,1680,True,-11
38,DABUR,DABUR,480,10,470,True,2
39,ICICIGI,ICICIGI,1170,80,1090,True,7
40,BANDHANBNK,BANDHANBNK,400,0,400,True,0
41,GRASIM,GRASIM,630,0,630,True,0
42,GICRE,GICRE,120,-10,130,True,-8
43,LUPIN,LUPIN,800,-20,820,True,-2
44,MRF,MRF,750,0,750,True,0
45,ACC,ACC,1520,30,1490,True,2
46,SAIL,SAIL,5,-5,10,True,-50
47,M&M,M&M,650,-20,670,True,-3
48,PIDILITIND,PIDILITIND,1320,-50,1370,True,-4
49,SHREECEM,SHREECEM,170,-20,190,True,-11
50,NTPC,NTPC,130,0,130,True,0
51,GODREJCP,GODREJCP,720,60,660,True,9
52,HINDZINC,HINDZINC,270,20,250,True,8
53,BPCL,BPCL,380,-30,410,True,-7
54,HDFCLIFE,HDFCLIFE,550,140,410,True,34
55,BANKBARODA,BANKBARODA,175,25,150,True,17
56,ONGC,ONGC,160,10,150,True,7
57,MCDOWELL-N,MCDOWELL-N,690,30,660,True,5
58,GAIL,GAIL,120,0,120,True,0
59,EICHERMOT,EICHERMOT,100,-50,150,True,-33
60,HINDUNILVR,HINDUNILVR,1970,-150,2120,True,-7
61,DRREDDY,DRREDDY,370,20,350,True,6
62,TECHM,TECHM,780,20,760,True,3
63,BHARTIARTL,BHARTIARTL,280,-10,290,True,-3
64,COLPAL,COLPAL,1360,30,1330,True,2
65,TCS,TCS,2700,-260,2960,True,-9
66,HAVELLS,HAVELLS,600,20,580,True,3
67,SBILIFE,SBILIFE,810,-90,900,True,-10
68,SRTRANSFIN,SRTRANSFIN,880,-50,930,True,-5
69,ASIANPAINT,ASIANPAINT,1730,70,1660,True,4
70,HCLTECH,HCLTECH,820,-90,910,True,-10
71,CONCOR,CONCOR,350,0,350,True,0
72,BAJAJHLDNG,BAJAJHLDNG,360,0,360,True,0
73,COALINDIA,COALINDIA,230,10,220,True,5
74,INFY,INFY,930,40,890,True,4
75,CIPLA,CIPLA,550,0,550,True,0
76,OFSS,OFSS,370,10,360,True,3
77,POWERGRID,POWERGRID,220,10,210,True,5
78,NHPC,NHPC,30,-10,40,True,-25
79,UPL,UPL,480,10,470,True,2
80,TATAMTRDVR,TATAMTRDVR,50,0,50,True,0
81,CADILAHC,CADILAHC,180,-10,190,True,-5
82,BAJAJ-AUTO,BAJAJ-AUTO,2070,100,1970,True,5
83,PAGEIND,PAGEIND,1460,30,1430,True,2
84,MARUTI,MARUTI,690,40,650,True,6
85,TATAMOTORS,TATAMOTORS,130,0,130,True,0
86,MARICO,MARICO,440,10,430,True,2
87,MOTHERSUMI,MOTHERSUMI,110,0,110,True,0
88,NMDC,NMDC,80,-10,90,True,-11
89,INFRATEL,INFRATEL,240,20,220,True,9
90,HINDALCO,HINDALCO,180,0,180,True,0
91,RELIANCE,RELIANCE,1580,-50,1630,True,-3
92,WIPRO,WIPRO,240,0,240,True,0
93,BIOCON,BIOCON,280,0,280,True,0
94,AUROPHARMA,AUROPHARMA,750,10,740,True,1
95,SUNPHARMA,SUNPHARMA,250,-40,290,True,-14
96,HEROMOTOCO,HEROMOTOCO,340,10,330,True,3
97,TATASTEEL,TATASTEEL,420,20,400,True,5
98,VEDL,VEDL,200,0,200,True,0
99,IDEA,IDEA,70,0,70,True,0
100,JSWSTEEL,JSWSTEEL,290,10,280,True,4
101,PGHH,PGHH,1100,20,1080,True,2
