id,name,ticker,currentprice,change,lastprice,percent,updated
1,L&TFH,L&TFH,70,20,50,40,TRUE
2,PEL,PEL,1850,-140,1990,-7,TRUE
3,ADANIPORTS,ADANIPORTS,340,-80,420,-19,TRUE
4,HINDPETRO,HINDPETRO,260,10,250,4,TRUE
5,HDFC,HDFC,2130,-20,2150,-1,TRUE
6,BAJFINANCE,BAJFINANCE,340,10,330,3,TRUE
7,YESBANK,YESBANK,60,0,60,0,TRUE
8,ULTRACEMCO,ULTRACEMCO,500,90,410,22,TRUE
9,ASHOKLEY,ASHOKLEY,70,10,60,17,TRUE
10,DLF,DLF,160,0,160,0,TRUE
11,ICICIBANK,ICICIBANK,420,30,390,8,TRUE
12,HDFCBANK,HDFCBANK,2330,70,2260,3,TRUE
13,BAJAJFINSV,BAJAJFINSV,640,-80,720,-11,TRUE
14,BHEL,BHEL,50,15,35,43,TRUE
15,LT,LT,1290,50,1340,4,TRUE
16,DMART,DMART,1560,30,1530,2,TRUE
17,ABB,ABB,1390,0,1390,0,TRUE
18,ZEEL,ZEEL,360,0,360,0,TRUE
19,ICICIPRULI,ICICIPRULI,390,-10,400,-3,TRUE
20,IBULHSGFIN,IBULHSGFIN,500,20,480,4,TRUE
21,BOSCHLTD,BOSCHLTD,1330,-50,1180,-4,TRUE
22,UBL,UBL,1420,70,1150,5,TRUE
23,DIVISLAB,DIVISLAB,1580,-50,1630,-3,TRUE
24,HDFCAMC,HDFCAMC,2240,-10,2490,0,TRUE
25,SBIN,SBIN,290,10,280,4,TRUE
26,KOTAKBANK,KOTAKBANK,1700,180,1520,12,TRUE
27,PETRONET,PETRONET,240,-10,250,-4,TRUE
28,AXISBANK,AXISBANK,650,70,580,12,TRUE
29,AMBUJACEM,AMBUJACEM,200,0,200,0,TRUE
30,NIACL,NIACL,110,0,140,0,TRUE
31,TITAN,TITAN,1250,250,1000,25,TRUE
32,ITC,ITC,280,20,260,8,TRUE
33,INDUSINDBK,INDUSINDBK,1350,10,1340,1,TRUE
34,BRITANNIA,BRITANNIA,250,0,250,0,TRUE
35,IOC,IOC,120,-10,130,-8,TRUE
36,SIEMENS,SIEMENS,1170,-10,1280,-1,TRUE
37,INDIGO,INDIGO,1500,-180,1680,-11,TRUE
38,DABUR,DABUR,430,0,430,0,TRUE
39,ICICIGI,ICICIGI,1040,-170,1210,-14,TRUE
40,BANDHANBNK,BANDHANBNK,500,30,470,6,TRUE
41,GRASIM,GRASIM,700,-40,740,-5,TRUE
42,GICRE,GICRE,160,-10,170,-6,TRUE
43,LUPIN,LUPIN,800,40,760,5,TRUE
44,MRF,MRF,620,30,590,5,TRUE
45,ACC,ACC,1400,-100,1500,-7,TRUE
46,SAIL,SAIL,30,10,20,50,TRUE
47,M&M,M&M,560,20,540,4,TRUE
48,PIDILITIND,PIDILITIND,1340,-40,1380,-3,TRUE
49,SHREECEM,SHREECEM,180,-10,190,-5,TRUE
50,NTPC,NTPC,120,0,120,0,TRUE
51,GODREJCP,GODREJCP,430,-180,610,-30,TRUE
52,HINDZINC,HINDZINC,210,0,210,0,TRUE
53,BPCL,BPCL,280,-60,340,-18,TRUE
