id,name,ticker,currentprice,change,lastprice,percent,updated
1,L&TFH,L&TFH,90,50,40,125,TRUE
2,PEL,PEL,1800,-460,2260,-20,TRUE
3,ADANIPORTS,ADANIPORTS,270,-30,300,-10,TRUE
4,HINDPETRO,HINDPETRO,290,20,270,7,TRUE
5,HDFC,HDFC,2270,390,1880,21,TRUE
6,BAJFINANCE,BAJFINANCE,370,20,350,6,TRUE
7,YESBANK,YESBANK,60,0,60,0,TRUE
8,ULTRACEMCO,ULTRACEMCO,430,10,420,2,TRUE
9,ASHOKLEY,ASHOKLEY,80,10,70,14,TRUE
10,DLF,DLF,170,-10,180,-6,TRUE
11,ICICIBANK,ICICIBANK,430,10,420,2,TRUE
12,HDFCBANK,HDFCBANK,2540,-50,2590,-2,TRUE
13,BAJAJFINSV,BAJAJFINSV,680,120,560,21,TRUE
14,BHEL,BHEL,40,-20,60,-33,TRUE
15,LT,LT,1450,30,1420,2,TRUE
16,DMART,DMART,1690,30,1660,2,TRUE
17,ABB,ABB,1460,0,1460,0,TRUE
18,ZEEL,ZEEL,380,0,380,0,TRUE
19,ICICIPRULI,ICICIPRULI,360,-40,400,-10,TRUE
20,IBULHSGFIN,IBULHSGFIN,400,-60,460,-13,TRUE
21,BOSCHLTD,BOSCHLTD,1420,100,1320,8,TRUE
22,UBL,UBL,1360,50,1310,4,TRUE
23,DIVISLAB,DIVISLAB,1620,60,1560,4,TRUE
24,HDFCAMC,HDFCAMC,2240,150,2090,7,TRUE
25,SBIN,SBIN,300,20,280,7,TRUE
26,KOTAKBANK,KOTAKBANK,1490,30,1460,2,TRUE
27,PETRONET,PETRONET,390,190,200,95,TRUE
28,AXISBANK,AXISBANK,710,-360,1070,-34,TRUE
29,AMBUJACEM,AMBUJACEM,200,-10,210,-5,TRUE
30,NIACL,NIACL,110,0,110,0,TRUE
31,TITAN,TITAN,1160,20,1140,2,TRUE
32,ITC,ITC,250,-100,350,-29,TRUE
33,INDUSINDBK,INDUSINDBK,1290,-40,1330,-3,TRUE
34,BRITANNIA,BRITANNIA,260,0,260,0,TRUE
35,IOC,IOC,120,0,120,0,TRUE
36,SIEMENS,SIEMENS,1300,-60,1360,-4,TRUE
37,INDIGO,INDIGO,1790,30,1760,2,TRUE
38,DABUR,DABUR,410,0,410,0,TRUE
39,ICICIGI,ICICIGI,800,140,660,21,TRUE
40,BANDHANBNK,BANDHANBNK,500,0,500,0,TRUE
41,GRASIM,GRASIM,770,40,730,5,TRUE
42,GICRE,GICRE,140,-20,160,-13,TRUE
43,LUPIN,LUPIN,880,40,840,5,TRUE
44,MRF,MRF,670,20,650,3,TRUE
45,ACC,ACC,1580,90,1490,6,TRUE
46,SAIL,SAIL,15,5,10,50,TRUE
47,M&M,M&M,650,40,610,7,TRUE
48,PIDILITIND,PIDILITIND,1390,0,1390,0,TRUE
49,SHREECEM,SHREECEM,200,10,190,5,TRUE
50,NTPC,NTPC,120,0,120,0,TRUE
51,GODREJCP,GODREJCP,560,-20,580,-3,TRUE
52,HINDZINC,HINDZINC,220,0,220,0,TRUE
53,BPCL,BPCL,360,0,360,0,TRUE
54,HDFCLIFE,HDFCLIFE,500,-40,540,-7,TRUE
55,BANKBARODA,BANKBARODA,150,50,100,50,TRUE
56,ONGC,ONGC,120,10,110,9,TRUE
57,MCDOWELL-N,MCDOWELL-N,640,-70,710,-10,TRUE
58,GAIL,GAIL,120,10,110,9,TRUE
59,EICHERMOT,EICHERMOT,150,0,150,0,TRUE
60,HINDUNILVR,HINDUNILVR,2070,-70,2140,-3,TRUE
61,DRREDDY,DRREDDY,280,0,280,0,TRUE
62,TECHM,TECHM,720,0,720,0,TRUE
63,BHARTIARTL,BHARTIARTL,390,30,360,8,TRUE
64,COLPAL,COLPAL,1250,0,1250,0,TRUE
65,TCS,TCS,2510,0,2510,0,TRUE
66,HAVELLS,HAVELLS,610,0,610,0,TRUE
67,SBILIFE,SBILIFE,900,30,870,3,TRUE
68,SRTRANSFIN,SRTRANSFIN,1080,-30,1110,-3,TRUE
