id,name,ticker,currentprice,change,lastprice,updated,percent
1,L&TFH,L&TFH,95,10,85,True,12
2,PEL,PEL,2100,40,2060,True,2
3,ADANIPORTS,ADANIPORTS,270,70,200,True,35
4,HINDPETRO,HINDPETRO,280,-30,310,True,-10
5,HDFC,HDFC,2590,0,2590,True,0
6,BAJFINANCE,BAJFINANCE,390,10,380,True,3
7,YESBANK,YESBANK,80,10,70,True,14
8,ULTRACEMCO,ULTRACEMCO,390,-20,410,True,-5
9,ASHOKLEY,ASHOKLEY,80,0,80,True,0
10,DLF,DLF,160,0,160,True,0
11,ICICIBANK,ICICIBANK,460,20,440,True,5
12,HDFCBANK,HDFCBANK,2690,80,2610,True,3
13,BAJAJFINSV,BAJAJFINSV,660,40,620,True,6
14,BHEL,BHEL,40,-20,60,True,-33
15,LT,LT,1360,10,1350,True,1
16,DMART,DMART,1750,190,1560,True,12
17,ABB,ABB,1400,-50,1450,True,-3
18,ZEEL,ZEEL,460,40,420,True,10
19,ICICIPRULI,ICICIPRULI,320,-20,340,True,-6
20,IBULHSGFIN,IBULHSGFIN,570,100,470,True,21
21,BOSCHLTD,BOSCHLTD,1320,10,1310,True,1
22,UBL,UBL,1530,80,1450,True,6
23,DIVISLAB,DIVISLAB,1760,40,1720,True,2
24,HDFCAMC,HDFCAMC,2490,90,2400,True,4
25,SBIN,SBIN,310,0,310,True,0
26,KOTAKBANK,KOTAKBANK,1470,0,1470,True,0
27,PETRONET,PETRONET,250,-20,270,True,-7
28,AXISBANK,AXISBANK,610,-30,640,True,-5
29,AMBUJACEM,AMBUJACEM,200,10,190,True,5
30,NIACL,NIACL,130,0,130,True,0
31,TITAN,TITAN,1350,80,1270,True,6
32,ITC,ITC,390,30,360,True,8
33,INDUSINDBK,INDUSINDBK,1240,40,1200,True,3
34,BRITANNIA,BRITANNIA,300,20,280,True,7
35,IOC,IOC,100,-30,130,True,-23
36,SIEMENS,SIEMENS,1400,-60,1460,True,-4
37,INDIGO,INDIGO,1680,30,1650,True,2
38,DABUR,DABUR,390,-20,410,True,-5
39,ICICIGI,ICICIGI,1170,30,1140,True,3
40,BANDHANBNK,BANDHANBNK,520,90,430,True,21
41,GRASIM,GRASIM,690,-30,720,True,-4
42,GICRE,GICRE,140,-40,180,True,-22
43,LUPIN,LUPIN,930,20,910,True,2
44,MRF,MRF,740,20,720,True,3
45,ACC,ACC,1740,160,1580,True,10
46,SAIL,SAIL,50,10,40,True,25
47,M&M,M&M,720,0,720,True,0
48,PIDILITIND,PIDILITIND,1390,30,1360,True,2
49,SHREECEM,SHREECEM,200,0,200,True,0
50,NTPC,NTPC,130,10,120,True,8
51,GODREJCP,GODREJCP,570,10,560,True,2
52,HINDZINC,HINDZINC,230,0,230,True,0
53,BPCL,BPCL,410,30,380,True,8
54,HDFCLIFE,HDFCLIFE,520,0,520,True,0
55,BANKBARODA,BANKBARODA,120,0,120,True,0
56,ONGC,ONGC,130,10,120,True,8
57,MCDOWELL-N,MCDOWELL-N,650,40,610,True,7
58,GAIL,GAIL,120,0,120,True,0
59,EICHERMOT,EICHERMOT,180,20,160,True,13
60,HINDUNILVR,HINDUNILVR,2470,50,2420,True,2
61,DRREDDY,DRREDDY,300,0,300,True,0
62,TECHM,TECHM,790,40,750,True,5
63,BHARTIARTL,BHARTIARTL,380,10,370,True,3
64,COLPAL,COLPAL,1230,0,1230,True,0
65,TCS,TCS,2390,-70,2460,True,-3
66,HAVELLS,HAVELLS,570,10,560,True,2
67,SBILIFE,SBILIFE,970,30,940,True,3
68,SRTRANSFIN,SRTRANSFIN,980,0,980,True,0
69,ASIANPAINT,ASIANPAINT,1550,160,1390,True,12
70,HCLTECH,HCLTECH,1070,0,1070,True,0
71,CONCOR,CONCOR,520,0,520,True,0
72,BAJAJHLDNG,BAJAJHLDNG,360,0,360,True,0
73,COALINDIA,COALINDIA,200,0,200,True,0
74,INFY,INFY,820,80,740,True,11
75,CIPLA,CIPLA,570,10,560,True,2
76,OFSS,OFSS,340,-10,350,True,-3
77,POWERGRID,POWERGRID,190,0,190,True,0
78,NHPC,NHPC,35,5,30,True,17
79,UPL,UPL,490,-50,540,True,-9
80,TATAMTRDVR,TATAMTRDVR,60,-10,70,True,-14
81,CADILAHC,CADILAHC,200,-10,210,True,-5
82,BAJAJ-AUTO,BAJAJ-AUTO,2310,200,2110,True,9
83,PAGEIND,PAGEIND,1660,-60,1720,True,-3
84,MARUTI,MARUTI,730,0,730,True,0
85,TATAMOTORS,TATAMOTORS,110,-30,140,True,-21
86,MARICO,MARICO,430,10,420,True,2
87,MOTHERSUMI,MOTHERSUMI,110,10,100,True,10
88,NMDC,NMDC,100,0,100,True,0
89,INFRATEL,INFRATEL,210,-20,230,True,-9
90,HINDALCO,HINDALCO,170,10,160,True,6
91,RELIANCE,RELIANCE,1970,130,1840,True,7
92,WIPRO,WIPRO,270,0,270,True,0
93,BIOCON,BIOCON,250,10,240,True,4
94,AUROPHARMA,AUROPHARMA,720,40,680,True,6
95,SUNPHARMA,SUNPHARMA,390,-40,430,True,-9
96,HEROMOTOCO,HEROMOTOCO,360,10,350,True,3
97,TATASTEEL,TATASTEEL,375,5,370,True,1
98,VEDL,VEDL,160,30,130,True,23
99,IDEA,IDEA,60,-30,90,True,-33
100,JSWSTEEL,JSWSTEEL,260,10,250,True,4
101,PGHH,PGHH,1050,-70,1120,True,-6
