id,name,ticker,currentprice,change,lastprice,updated,percent
1,L&TFH,L&TFH,105,10,95,True,11
2,PEL,PEL,2350,250,2100,True,12
3,ADANIPORTS,ADANIPORTS,320,50,270,True,19
4,HINDPETRO,HINDPETRO,300,20,280,True,7
5,HDFC,HDFC,2640,50,2590,True,2
6,BAJFINANCE,BAJFINANCE,410,20,390,True,5
7,YESBANK,YESBANK,70,-10,80,True,-13
8,ULTRACEMCO,ULTRACEMCO,400,10,390,True,3
9,ASHOKLEY,ASHOKLEY,90,10,80,True,13
10,DLF,DLF,170,10,160,True,6
11,ICICIBANK,ICICIBANK,480,20,460,True,4
12,HDFCBANK,HDFCBANK,2850,160,2690,True,6
13,BAJAJFINSV,BAJAJFINSV,590,-70,660,True,-11
14,BHEL,BHEL,30,-10,40,True,-25
15,LT,LT,1450,90,1360,True,7
16,DMART,DMART,1940,190,1750,True,11
17,ABB,ABB,1420,20,1400,True,1
18,ZEEL,ZEEL,470,10,460,True,2
19,ICICIPRULI,ICICIPRULI,320,0,320,True,0
20,IBULHSGFIN,IBULHSGFIN,660,90,570,True,16
21,BOSCHLTD,BOSCHLTD,1390,70,1320,True,5
22,UBL,UBL,1530,0,1530,True,0
23,DIVISLAB,DIVISLAB,1760,0,1760,True,0
24,HDFCAMC,HDFCAMC,2490,0,2490,True,0
25,SBIN,SBIN,310,0,310,True,0
26,KOTAKBANK,KOTAKBANK,1470,0,1470,True,0
27,PETRONET,PETRONET,250,0,250,True,0
28,AXISBANK,AXISBANK,610,0,610,True,0
29,AMBUJACEM,AMBUJACEM,200,0,200,True,0
30,NIACL,NIACL,130,0,130,True,0
31,TITAN,TITAN,1350,0,1350,True,0
32,ITC,ITC,290,-100,390,True,-26
33,INDUSINDBK,INDUSINDBK,1240,0,1240,True,0
34,BRITANNIA,BRITANNIA,300,0,300,True,0
35,IOC,IOC,130,30,100,True,30
36,SIEMENS,SIEMENS,1400,0,1400,True,0
37,INDIGO,INDIGO,1680,0,1680,True,0
38,DABUR,DABUR,400,10,390,True,3
39,ICICIGI,ICICIGI,1130,-40,1170,True,-3
40,BANDHANBNK,BANDHANBNK,540,20,520,True,4
41,GRASIM,GRASIM,670,-20,690,True,-3
42,GICRE,GICRE,100,-40,140,True,-29
43,LUPIN,LUPIN,1000,70,930,True,8
44,MRF,MRF,800,60,740,True,8
45,ACC,ACC,1540,-200,1740,True,-11
46,SAIL,SAIL,20,-30,50,True,-60
47,M&M,M&M,730,10,720,True,1
48,PIDILITIND,PIDILITIND,1360,-30,1390,True,-2
49,SHREECEM,SHREECEM,200,0,200,True,0
50,NTPC,NTPC,120,-10,130,True,-8
51,GODREJCP,GODREJCP,590,20,570,True,4
52,HINDZINC,HINDZINC,240,10,230,True,4
53,BPCL,BPCL,430,20,410,True,5
54,HDFCLIFE,HDFCLIFE,540,20,520,True,4
55,BANKBARODA,BANKBARODA,85,-35,120,True,-29
56,ONGC,ONGC,110,-20,130,True,-15
57,MCDOWELL-N,MCDOWELL-N,730,80,650,True,12
58,GAIL,GAIL,110,-10,120,True,-8
59,EICHERMOT,EICHERMOT,200,20,180,True,11
60,HINDUNILVR,HINDUNILVR,2620,150,2470,True,6
61,DRREDDY,DRREDDY,310,10,300,True,3
62,TECHM,TECHM,840,50,790,True,6
63,BHARTIARTL,BHARTIARTL,380,0,380,True,0
64,COLPAL,COLPAL,1270,40,1230,True,3
65,TCS,TCS,2580,190,2390,True,8
66,HAVELLS,HAVELLS,520,-50,570,True,-9
67,SBILIFE,SBILIFE,1010,40,970,True,4
68,SRTRANSFIN,SRTRANSFIN,1010,30,980,True,3
69,ASIANPAINT,ASIANPAINT,1580,30,1550,True,2
70,HCLTECH,HCLTECH,1090,20,1070,True,2
71,CONCOR,CONCOR,410,-110,520,True,-21
72,BAJAJHLDNG,BAJAJHLDNG,350,-10,360,True,-3
73,COALINDIA,COALINDIA,200,0,200,True,0
74,INFY,INFY,840,20,820,True,2
75,CIPLA,CIPLA,590,20,570,True,4
76,OFSS,OFSS,350,10,340,True,3
77,POWERGRID,POWERGRID,190,0,190,True,0
78,NHPC,NHPC,30,-5,35,True,-14
79,UPL,UPL,380,-110,490,True,-22
80,TATAMTRDVR,TATAMTRDVR,70,10,60,True,17
81,CADILAHC,CADILAHC,200,0,200,True,0
82,BAJAJ-AUTO,BAJAJ-AUTO,2080,-230,2310,True,-10
83,PAGEIND,PAGEIND,1690,30,1660,True,2
84,MARUTI,MARUTI,750,20,730,True,3
85,TATAMOTORS,TATAMOTORS,110,0,110,True,0
86,MARICO,MARICO,410,-20,430,True,-5
87,MOTHERSUMI,MOTHERSUMI,110,0,110,True,0
88,NMDC,NMDC,110,10,100,True,10
89,INFRATEL,INFRATEL,200,-10,210,True,-5
90,HINDALCO,HINDALCO,160,-10,170,True,-6
91,RELIANCE,RELIANCE,1690,-280,1970,True,-14
92,WIPRO,WIPRO,290,20,270,True,7
93,BIOCON,BIOCON,250,0,250,True,0
94,AUROPHARMA,AUROPHARMA,710,-10,720,True,-1
95,SUNPHARMA,SUNPHARMA,400,10,390,True,3
96,HEROMOTOCO,HEROMOTOCO,380,20,360,True,6
97,TATASTEEL,TATASTEEL,380,5,375,True,1
98,VEDL,VEDL,130,-30,160,True,-19
99,IDEA,IDEA,90,30,60,True,50
100,JSWSTEEL,JSWSTEEL,270,10,260,True,4
101,PGHH,PGHH,1070,20,1050,True,2
