id,name,ticker,currentprice,change,lastprice,percent,updated
1,L&TFH,L&TFH,110,40,70,57,TRUE
2,PEL,PEL,1990,140,1850,8,TRUE
3,ADANIPORTS,ADANIPORTS,330,-10,340,-3,TRUE
4,HINDPETRO,HINDPETRO,200,-60,260,-23,TRUE
5,HDFC,HDFC,2210,80,2130,4,TRUE
6,BAJFINANCE,BAJFINANCE,360,20,340,6,TRUE
7,YESBANK,YESBANK,50,-10,60,-17,TRUE
8,ULTRACEMCO,ULTRACEMCO,430,-70,500,-14,TRUE
9,ASHOKLEY,ASHOKLEY,70,0,70,0,TRUE
10,DLF,DLF,170,10,160,6,TRUE
11,ICICIBANK,ICICIBANK,320,-100,420,-24,TRUE
12,HDFCBANK,HDFCBANK,2330,0,2330,0,TRUE
13,BAJAJFINSV,BAJAJFINSV,650,10,640,2,TRUE
14,BHEL,BHEL,25,-25,50,-50,TRUE
15,LT,LT,1090,-200,1290,-16,TRUE
16,DMART,DMART,1560,0,1560,0,TRUE
17,ABB,ABB,1440,50,1390,4,TRUE
18,ZEEL,ZEEL,330,-30,360,-8,TRUE
19,ICICIPRULI,ICICIPRULI,380,-10,390,-3,TRUE
20,IBULHSGFIN,IBULHSGFIN,500,0,500,0,TRUE
21,BOSCHLTD,BOSCHLTD,1250,-80,1330,-6,TRUE
22,UBL,UBL,1270,-150,1420,-11,TRUE
23,DIVISLAB,DIVISLAB,1690,110,1580,7,TRUE
24,HDFCAMC,HDFCAMC,2000,-240,2240,-11,TRUE
25,SBIN,SBIN,290,0,290,0,TRUE
26,KOTAKBANK,KOTAKBANK,1820,120,1700,7,TRUE
27,PETRONET,PETRONET,250,10,240,4,TRUE
28,AXISBANK,AXISBANK,750,100,650,15,TRUE
29,AMBUJACEM,AMBUJACEM,210,10,200,5,TRUE
30,NIACL,NIACL,70,-40,110,-36,TRUE
31,TITAN,TITAN,1120,-130,1250,-10,TRUE
32,ITC,ITC,300,20,280,7,TRUE
33,INDUSINDBK,INDUSINDBK,1320,-30,1350,-2,TRUE
34,BRITANNIA,BRITANNIA,370,120,250,48,TRUE
35,IOC,IOC,130,10,120,8,TRUE
36,SIEMENS,SIEMENS,950,-220,1170,-19,TRUE
37,INDIGO,INDIGO,1620,120,1500,8,TRUE
38,DABUR,DABUR,450,20,430,5,TRUE
39,ICICIGI,ICICIGI,970,-70,1040,-7,TRUE
40,BANDHANBNK,BANDHANBNK,530,30,500,6,TRUE
41,GRASIM,GRASIM,700,0,700,0,TRUE
42,GICRE,GICRE,170,10,160,6,TRUE
43,LUPIN,LUPIN,840,40,800,5,TRUE
44,MRF,MRF,650,30,620,5,TRUE
45,ACC,ACC,1230,-170,1400,-12,TRUE
46,SAIL,SAIL,40,10,30,33,TRUE
47,M&M,M&M,520,-40,560,-7,TRUE
48,PIDILITIND,PIDILITIND,1370,30,1340,2,TRUE
49,SHREECEM,SHREECEM,190,10,180,6,TRUE
50,NTPC,NTPC,110,-10,120,-8,TRUE
51,GODREJCP,GODREJCP,630,200,430,47,TRUE
52,HINDZINC,HINDZINC,210,0,210,0,TRUE
53,BPCL,BPCL,340,60,280,21,TRUE
54,HDFCLIFE,HDFCLIFE,460,-90,550,-16,TRUE
55,BANKBARODA,BANKBARODA,60,10,50,20,TRUE
56,ONGC,ONGC,110,0,110,0,TRUE
57,MCDOWELL-N,MCDOWELL-N,610,-40,650,-6,TRUE
58,GAIL,GAIL,120,10,110,9,TRUE
59,EICHERMOT,EICHERMOT,180,10,170,6,TRUE
60,HINDUNILVR,HINDUNILVR,2020,340,1680,20,TRUE
61,DRREDDY,DRREDDY,330,60,270,22,TRUE
62,TECHM,TECHM,710,-20,730,-3,TRUE
63,BHARTIARTL,BHARTIARTL,370,10,360,3,TRUE
64,COLPAL,COLPAL,1130,-100,1230,-8,TRUE
65,TCS,TCS,2380,150,2230,7,TRUE
66,HAVELLS,HAVELLS,640,30,610,5,TRUE
67,SBILIFE,SBILIFE,870,0,870,0,TRUE
68,SRTRANSFIN,SRTRANSFIN,1030,-50,1080,-5,TRUE
69,ASIANPAINT,ASIANPAINT,1560,-60,1620,-4,TRUE
70,HCLTECH,HCLTECH,1060,-50,1110,-5,TRUE
71,CONCOR,CONCOR,480,0,480,0,TRUE
72,BAJAJHLDNG,BAJAJHLDNG,330,0,330,0,TRUE
73,COALINDIA,COALINDIA,190,0,190,0,TRUE
74,INFY,INFY,820,50,770,6,TRUE
75,CIPLA,CIPLA,490,10,480,2,TRUE
76,OFSS,OFSS,310,0,310,0,TRUE
77,POWERGRID,POWERGRID,200,10,190,5,TRUE
78,NHPC,NHPC,20,-10,30,-33,TRUE
79,UPL,UPL,580,20,560,4,TRUE
80,TATAMTRDVR,TATAMTRDVR,50,5,45,11,TRUE
81,CADILAHC,CADILAHC,210,0,210,0,TRUE
82,BAJAJ-AUTO,BAJAJ-AUTO,2630,-50,2680,-2,TRUE
83,PAGEIND,PAGEIND,1920,50,1870,3,TRUE
84,MARUTI,MARUTI,690,30,660,5,TRUE
85,TATAMOTORS,TATAMOTORS,110,5,105,5,TRUE
86,MARICO,MARICO,370,0,370,0,TRUE
87,MOTHERSUMI,MOTHERSUMI,110,0,110,0,TRUE
88,NMDC,NMDC,90,0,90,0,TRUE
89,INFRATEL,INFRATEL,240,0,240,0,TRUE
90,HINDALCO,HINDALCO,170,0,170,0,TRUE
91,RELIANCE,RELIANCE,1440,70,1370,5,TRUE
