id,name,ticker,currentprice,change,lastprice,percent,updated
1,L&TFH,L&TFH,40,-30,70,-43,TRUE
2,PEL,PEL,2260,20,2240,1,TRUE
3,ADANIPORTS,ADANIPORTS,300,-50,350,-14,TRUE
4,HINDPETRO,HINDPETRO,270,0,270,0,TRUE
5,HDFC,HDFC,1880,-120,2000,-6,TRUE
6,BAJFINANCE,BAJFINANCE,350,0,350,0,TRUE
7,YESBANK,YESBANK,60,0,60,0,TRUE
8,ULTRACEMCO,ULTRACEMCO,420,110,310,35,TRUE
9,ASHOKLEY,ASHOKLEY,70,0,70,0,TRUE
10,DLF,DLF,180,10,170,6,TRUE
11,ICICIBANK,ICICIBANK,420,0,420,0,TRUE
12,HDFCBANK,HDFCBANK,2590,190,2400,8,TRUE
13,BAJAJFINSV,BAJAJFINSV,560,-190,750,-25,TRUE
14,BHEL,BHEL,60,-5,65,-8,TRUE
15,LT,LT,1420,0,1420,0,TRUE
16,DMART,DMART,1660,50,1610,3,TRUE
17,ABB,ABB,1460,0,1460,0,TRUE
18,ZEEL,ZEEL,380,50,330,15,TRUE
19,ICICIPRULI,ICICIPRULI,400,0,400,0,TRUE
20,IBULHSGFIN,IBULHSGFIN,460,-50,510,-10,TRUE
21,BOSCHLTD,BOSCHLTD,1320,130,1190,11,TRUE
22,UBL,UBL,1310,150,1160,13,TRUE
23,DIVISLAB,DIVISLAB,1560,-70,1630,-4,TRUE
24,HDFCAMC,HDFCAMC,2090,-160,2250,-7,TRUE
25,SBIN,SBIN,280,-10,290,-3,TRUE
26,KOTAKBANK,KOTAKBANK,1460,-60,1520,-4,TRUE
27,PETRONET,PETRONET,200,-50,250,-20,TRUE
28,AXISBANK,AXISBANK,1070,180,890,20,TRUE
29,AMBUJACEM,AMBUJACEM,210,10,200,5,TRUE
30,NIACL,NIACL,110,0,110,0,TRUE
31,TITAN,TITAN,1140,-270,1410,-19,TRUE
32,ITC,ITC,350,10,340,3,TRUE
33,INDUSINDBK,INDUSINDBK,1330,270,1060,25,TRUE
34,BRITANNIA,BRITANNIA,260,80,180,44,TRUE
35,IOC,IOC,120,-10,130,-8,TRUE
36,SIEMENS,SIEMENS,1360,180,1180,15,TRUE
37,INDIGO,INDIGO,1760,70,1690,4,TRUE
38,DABUR,DABUR,410,60,350,17,TRUE
39,ICICIGI,ICICIGI,660,-100,760,-13,TRUE
40,BANDHANBNK,BANDHANBNK,500,0,500,0,TRUE
41,GRASIM,GRASIM,730,10,720,1,TRUE
42,GICRE,GICRE,160,0,160,0,TRUE
43,LUPIN,LUPIN,840,30,810,4,TRUE
44,MRF,MRF,650,20,630,3,TRUE
45,ACC,ACC,1490,80,1410,6,TRUE
46,SAIL,SAIL,10,-20,30,-67,TRUE
47,M&M,M&M,610,50,560,9,TRUE
48,PIDILITIND,PIDILITIND,1390,30,1360,2,TRUE
49,SHREECEM,SHREECEM,190,0,190,0,TRUE
50,NTPC,NTPC,120,0,120,0,TRUE
51,GODREJCP,GODREJCP,580,-50,630,-8,TRUE
52,HINDZINC,HINDZINC,220,0,220,0,TRUE
53,BPCL,BPCL,360,10,350,3,TRUE
54,HDFCLIFE,HDFCLIFE,540,180,360,50,TRUE
55,BANKBARODA,BANKBARODA,100,0,100,0,TRUE
56,ONGC,ONGC,110,0,110,0,TRUE
57,MCDOWELL-N,MCDOWELL-N,710,40,670,6,TRUE
58,GAIL,GAIL,110,0,110,0,TRUE
59,EICHERMOT,EICHERMOT,150,-20,170,-12,TRUE
60,HINDUNILVR,HINDUNILVR,2140,140,2000,7,TRUE
61,DRREDDY,DRREDDY,280,-20,300,-7,TRUE
62,TECHM,TECHM,720,-10,730,-1,TRUE
63,BHARTIARTL,BHARTIARTL,360,-10,370,-3,TRUE
64,COLPAL,COLPAL,1250,0,1250,0,TRUE
65,TCS,TCS,2510,50,2460,2,TRUE
66,HAVELLS,HAVELLS,610,-10,620,-2,TRUE
67,SBILIFE,SBILIFE,870,0,870,0,TRUE
68,SRTRANSFIN,SRTRANSFIN,1110,0,1110,0,TRUE
69,ASIANPAINT,ASIANPAINT,1630,0,1630,0,TRUE
70,HCLTECH,HCLTECH,1150,30,1120,3,TRUE
71,CONCOR,CONCOR,530,40,490,8,TRUE
72,BAJAJHLDNG,BAJAJHLDNG,340,0,340,0,TRUE
73,COALINDIA,COALINDIA,180,-10,190,-5,TRUE
74,INFY,INFY,690,10,680,1,TRUE
75,CIPLA,CIPLA,500,20,480,4,TRUE
76,OFSS,OFSS,330,20,310,6,TRUE
77,POWERGRID,POWERGRID,200,0,200,0,TRUE
78,NHPC,NHPC,40,30,10,300,TRUE
79,UPL,UPL,580,10,570,2,TRUE
80,TATAMTRDVR,TATAMTRDVR,60,-15,75,-20,TRUE
81,CADILAHC,CADILAHC,220,0,220,0,TRUE
82,BAJAJ-AUTO,BAJAJ-AUTO,2370,-130,2500,-5,TRUE
83,PAGEIND,PAGEIND,1820,-60,1880,-3,TRUE
84,MARUTI,MARUTI,660,0,660,0,TRUE
85,TATAMOTORS,TATAMOTORS,120,0,120,0,TRUE
86,MARICO,MARICO,490,20,470,4,TRUE
87,MOTHERSUMI,MOTHERSUMI,120,10,110,9,TRUE
88,NMDC,NMDC,90,0,90,0,TRUE
89,INFRATEL,INFRATEL,230,-10,240,-4,TRUE
90,HINDALCO,HINDALCO,150,-20,170,-12,TRUE
91,RELIANCE,RELIANCE,1540,170,1370,12,TRUE
92,WIPRO,WIPRO,290,20,270,7,TRUE
93,BIOCON,BIOCON,230,10,220,5,TRUE
94,AUROPHARMA,AUROPHARMA,610,20,590,3,TRUE
95,SUNPHARMA,SUNPHARMA,430,-10,440,-2,TRUE
96,HEROMOTOCO,HEROMOTOCO,320,10,310,3,TRUE
97,TATASTEEL,TATASTEEL,350,-20,370,-5,TRUE
98,VEDL,VEDL,140,0,140,0,TRUE
99,IDEA,IDEA,70,0,70,0,TRUE
100,JSWSTEEL,JSWSTEEL,240,10,230,4,TRUE
101,PGHH,PGHH,1080,50,1030,5,TRUE
