id,name,ticker,currentprice,change,lastprice,updated,percent
1,L&TFH,L&TFH,105,-30,200,TRUE,-43
2,PEL,PEL,1780,20,1900,TRUE,1
3,ADANIPORTS,ADANIPORTS,350,-50,330,TRUE,-14
4,HINDPETRO,HINDPETRO,320,0,310,TRUE,0
5,HDFC,HDFC,3090,80,3030,TRUE,4
6,BAJFINANCE,BAJFINANCE,380,0,370,TRUE,0
7,YESBANK,YESBANK,30,0,50,TRUE,0
8,ULTRACEMCO,ULTRACEMCO,320,110,330,TRUE,35
9,ASHOKLEY,ASHOKLEY,50,0,60,TRUE,0
10,DLF,DLF,80,10,100,TRUE,6
11,ICICIBANK,ICICIBANK,550,0,530,TRUE,0
12,HDFCBANK,HDFCBANK,3400,190,3530,TRUE,8
13,BAJAJFINSV,BAJAJFINSV,810,10,750,TRUE,2
14,BHEL,BHEL,100,-5,90,TRUE,-8
15,LT,LT,1450,0,1260,TRUE,0
16,DMART,DMART,2330,50,2200,TRUE,3
17,ABB,ABB,1210,0,1190,TRUE,0
18,ZEEL,ZEEL,460,50,430,TRUE,15
19,ICICIPRULI,ICICIPRULI,270,0,290,TRUE,0
20,IBULHSGFIN,IBULHSGFIN,510,-50,510,TRUE,-10
21,BOSCHLTD,BOSCHLTD,1120,-20,1270,TRUE,-1
22,UBL,UBL,1810,150,1890,TRUE,13
23,DIVISLAB,DIVISLAB,2010,-70,1970,TRUE,-4
24,HDFCAMC,HDFCAMC,2850,-160,2690,TRUE,-7
25,SBIN,SBIN,210,-10,210,TRUE,-3
26,KOTAKBANK,KOTAKBANK,1630,-60,1700,TRUE,-4
27,PETRONET,PETRONET,180,0,350,TRUE,0
28,AXISBANK,AXISBANK,600,-220,670,TRUE,-25
29,AMBUJACEM,AMBUJACEM,210,10,220,TRUE,5
30,NIACL,NIACL,140,0,140,TRUE,0
31,TITAN,TITAN,1200,-270,1350,TRUE,-19
32,ITC,ITC,480,10,380,TRUE,3
33,INDUSINDBK,INDUSINDBK,1280,270,1270,TRUE,25
34,BRITANNIA,BRITANNIA,300,80,320,TRUE,44
35,IOC,IOC,160,-10,160,TRUE,-8
36,SIEMENS,SIEMENS,1570,180,1540,TRUE,15
37,INDIGO,INDIGO,1400,70,1500,TRUE,4
38,DABUR,DABUR,520,60,480,TRUE,17
39,ICICIGI,ICICIGI,1250,0,1170,TRUE,0
40,BANDHANBNK,BANDHANBNK,420,0,400,TRUE,0
41,GRASIM,GRASIM,650,10,630,TRUE,1
42,GICRE,GICRE,120,0,120,TRUE,0
43,LUPIN,LUPIN,800,30,800,TRUE,4
44,MRF,MRF,780,20,750,TRUE,3
45,ACC,ACC,1570,80,1520,TRUE,6
46,SAIL,SAIL,10,-20,5,TRUE,-67
47,M&M,M&M,500,50,650,TRUE,9
48,PIDILITIND,PIDILITIND,1350,30,1320,TRUE,2
49,SHREECEM,SHREECEM,120,0,170,TRUE,0
50,NTPC,NTPC,140,0,130,TRUE,0
51,GODREJCP,GODREJCP,730,-50,720,TRUE,-8
