id,name,ticker,currentprice,change,lastprice,updated,percent
1,L&TFH,L&TFH,100,5,95,True,5
2,PEL,PEL,2210,110,2100,True,5
3,ADANIPORTS,ADANIPORTS,340,0,340,True,0
4,HINDPETRO,HINDPETRO,290,10,280,True,4
5,HDFC,HDFC,2690,100,2590,True,4
6,BAJFINANCE,BAJFINANCE,390,0,390,True,0
7,YESBANK,YESBANK,60,0,60,True,0
8,ULTRACEMCO,ULTRACEMCO,380,-10,390,True,-3
9,ASHOKLEY,ASHOKLEY,80,0,80,True,0
10,DLF,DLF,160,0,160,True,0
11,ICICIBANK,ICICIBANK,440,-20,460,True,-4
12,HDFCBANK,HDFCBANK,2880,190,2690,True,7
13,BAJAJFINSV,BAJAJFINSV,670,10,660,True,2
14,BHEL,BHEL,60,-10,70,True,-14
15,LT,LT,1310,-50,1360,True,-4
16,DMART,DMART,2070,220,1850,True,12
17,ABB,ABB,1320,-80,1400,True,-6
18,ZEEL,ZEEL,460,0,460,True,0
19,ICICIPRULI,ICICIPRULI,340,20,320,True,6
20,IBULHSGFIN,IBULHSGFIN,580,20,560,True,4
21,BOSCHLTD,BOSCHLTD,1280,30,1250,True,2
22,UBL,UBL,1620,90,1530,True,6
23,DIVISLAB,DIVISLAB,1800,40,1760,True,2
24,HDFCAMC,HDFCAMC,2440,-50,2490,True,-2
25,SBIN,SBIN,310,0,310,True,0
26,KOTAKBANK,KOTAKBANK,1470,0,1470,True,0
27,PETRONET,PETRONET,270,20,250,True,8
28,AXISBANK,AXISBANK,650,40,610,True,7
29,AMBUJACEM,AMBUJACEM,210,10,200,True,5
30,NIACL,NIACL,130,0,130,True,0
31,TITAN,TITAN,1300,-50,1350,True,-4
32,ITC,ITC,390,0,390,True,0
33,INDUSINDBK,INDUSINDBK,1310,-30,1340,True,-2
34,BRITANNIA,BRITANNIA,300,0,300,True,0
35,IOC,IOC,140,10,130,True,8
36,SIEMENS,SIEMENS,1540,-60,1600,True,-4
37,INDIGO,INDIGO,1510,30,1480,True,2
38,DABUR,DABUR,400,10,390,True,3
39,ICICIGI,ICICIGI,1140,70,1070,True,7
40,BANDHANBNK,BANDHANBNK,380,-140,520,True,-27
41,GRASIM,GRASIM,690,0,690,True,0
42,GICRE,GICRE,130,-10,140,True,-7
43,LUPIN,LUPIN,820,-10,830,True,-1
44,MRF,MRF,740,0,740,True,0
45,ACC,ACC,1670,30,1640,True,2
46,SAIL,SAIL,10,0,10,True,0
47,M&M,M&M,700,-20,720,True,-3
48,PIDILITIND,PIDILITIND,1330,-60,1390,True,-4
49,SHREECEM,SHREECEM,180,-20,200,True,-10
50,NTPC,NTPC,130,0,130,True,0
51,GODREJCP,GODREJCP,580,10,570,True,2
52,HINDZINC,HINDZINC,250,20,230,True,9
53,BPCL,BPCL,380,-30,410,True,-7
54,HDFCLIFE,HDFCLIFE,440,20,420,True,5
55,BANKBARODA,BANKBARODA,140,0,140,True,0
56,ONGC,ONGC,140,10,130,True,8
57,MCDOWELL-N,MCDOWELL-N,680,30,650,True,5
58,GAIL,GAIL,120,0,120,True,0
59,EICHERMOT,EICHERMOT,160,0,160,True,0
60,HINDUNILVR,HINDUNILVR,2300,-170,2470,True,-7
61,DRREDDY,DRREDDY,320,20,300,True,7
62,TECHM,TECHM,810,20,790,True,3
63,BHARTIARTL,BHARTIARTL,330,-10,340,True,-3
64,COLPAL,COLPAL,1250,20,1230,True,2
65,TCS,TCS,2790,0,2790,True,0
66,HAVELLS,HAVELLS,590,20,570,True,4
67,SBILIFE,SBILIFE,870,-100,970,True,-10
68,SRTRANSFIN,SRTRANSFIN,930,-50,980,True,-5
69,ASIANPAINT,ASIANPAINT,1610,60,1550,True,4
70,HCLTECH,HCLTECH,960,-110,1070,True,-10
71,CONCOR,CONCOR,320,0,320,True,0
72,BAJAJHLDNG,BAJAJHLDNG,360,0,360,True,0
73,COALINDIA,COALINDIA,190,-10,200,True,-5
74,INFY,INFY,790,-80,870,True,-9
75,CIPLA,CIPLA,570,0,570,True,0
76,OFSS,OFSS,350,10,340,True,3
77,POWERGRID,POWERGRID,200,10,190,True,5
78,NHPC,NHPC,40,0,40,True,0
79,UPL,UPL,540,20,520,True,4
80,TATAMTRDVR,TATAMTRDVR,50,-5,55,True,-9
81,CADILAHC,CADILAHC,190,-10,200,True,-5
82,BAJAJ-AUTO,BAJAJ-AUTO,2010,100,1910,True,5
83,PAGEIND,PAGEIND,1690,30,1660,True,2
84,MARUTI,MARUTI,770,40,730,True,5
85,TATAMOTORS,TATAMOTORS,130,0,130,True,0
86,MARICO,MARICO,440,10,430,True,2
87,MOTHERSUMI,MOTHERSUMI,110,0,110,True,0
88,NMDC,NMDC,90,-10,100,True,-10
89,INFRATEL,INFRATEL,220,10,210,True,5
90,HINDALCO,HINDALCO,170,0,170,True,0
91,RELIANCE,RELIANCE,1910,-60,1970,True,-3
92,WIPRO,WIPRO,270,0,270,True,0
93,BIOCON,BIOCON,250,0,250,True,0
94,AUROPHARMA,AUROPHARMA,730,10,720,True,1
95,SUNPHARMA,SUNPHARMA,290,10,280,True,4
96,HEROMOTOCO,HEROMOTOCO,370,10,360,True,3
97,TATASTEEL,TATASTEEL,350,-20,370,True,-5
98,VEDL,VEDL,170,0,170,True,0
99,IDEA,IDEA,80,0,80,True,0
100,JSWSTEEL,JSWSTEEL,270,10,260,True,4
101,PGHH,PGHH,1070,20,1050,True,2
