id,name,ticker,currentprice,change,lastprice,percent,updated
1,L&TFH,L&TFH,130,20,110,18,TRUE
2,PEL,PEL,2110,120,1990,6,TRUE
3,ADANIPORTS,ADANIPORTS,380,50,330,15,TRUE
4,HINDPETRO,HINDPETRO,160,-40,200,-20,TRUE
5,HDFC,HDFC,2150,-60,2210,-3,TRUE
6,BAJFINANCE,BAJFINANCE,330,-30,360,-8,TRUE
7,YESBANK,YESBANK,70,20,50,40,TRUE
8,ULTRACEMCO,ULTRACEMCO,410,-20,430,-5,TRUE
9,ASHOKLEY,ASHOKLEY,70,0,70,0,TRUE
10,DLF,DLF,160,-10,170,-6,TRUE
11,ICICIBANK,ICICIBANK,300,-20,320,-6,TRUE
12,HDFCBANK,HDFCBANK,2270,-60,2330,-3,TRUE
13,BAJAJFINSV,BAJAJFINSV,780,130,650,20,TRUE
14,BHEL,BHEL,40,15,25,60,TRUE
15,LT,LT,1240,150,1090,14,TRUE
16,DMART,DMART,1540,-20,1560,-1,TRUE
17,ABB,ABB,1430,-10,1440,-1,TRUE
18,ZEEL,ZEEL,280,-50,330,-15,TRUE
19,ICICIPRULI,ICICIPRULI,400,20,380,5,TRUE
20,IBULHSGFIN,IBULHSGFIN,510,10,500,2,TRUE
21,BOSCHLTD,BOSCHLTD,1040,-210,1250,-17,TRUE
22,UBL,UBL,1260,-10,1270,-1,TRUE
23,DIVISLAB,DIVISLAB,1630,-60,1690,-4,TRUE
24,HDFCAMC,HDFCAMC,1750,-250,2000,-13,TRUE
25,SBIN,SBIN,290,0,290,0,TRUE
26,KOTAKBANK,KOTAKBANK,1520,-300,1820,-16,TRUE
27,PETRONET,PETRONET,350,100,250,40,TRUE
28,AXISBANK,AXISBANK,790,40,750,5,TRUE
29,AMBUJACEM,AMBUJACEM,200,-10,210,-5,TRUE
30,NIACL,NIACL,110,40,70,57,TRUE
31,TITAN,TITAN,1310,190,1120,17,TRUE
32,ITC,ITC,240,-60,300,-20,TRUE
33,INDUSINDBK,INDUSINDBK,1360,40,1320,3,TRUE
34,BRITANNIA,BRITANNIA,250,-120,370,-32,TRUE
35,IOC,IOC,190,60,130,46,TRUE
36,SIEMENS,SIEMENS,1080,130,950,14,TRUE
37,INDIGO,INDIGO,1690,70,1620,4,TRUE
38,DABUR,DABUR,440,-10,450,-2,TRUE
39,ICICIGI,ICICIGI,810,-160,970,-16,TRUE
40,BANDHANBNK,BANDHANBNK,480,-50,530,-9,TRUE
41,GRASIM,GRASIM,740,40,700,6,TRUE
42,GICRE,GICRE,170,0,170,0,TRUE
43,LUPIN,LUPIN,760,-80,840,-10,TRUE
44,MRF,MRF,590,-60,650,-9,TRUE
45,ACC,ACC,1500,270,1230,22,TRUE
46,SAIL,SAIL,30,-10,40,-25,TRUE
47,M&M,M&M,550,30,520,6,TRUE
48,PIDILITIND,PIDILITIND,1390,20,1370,1,TRUE
49,SHREECEM,SHREECEM,190,0,190,0,TRUE
50,NTPC,NTPC,120,10,110,9,TRUE
51,GODREJCP,GODREJCP,610,-20,630,-3,TRUE
52,HINDZINC,HINDZINC,210,0,210,0,TRUE
53,BPCL,BPCL,240,-100,340,-29,TRUE
54,HDFCLIFE,HDFCLIFE,440,-20,460,-4,TRUE
55,BANKBARODA,BANKBARODA,100,40,60,67,TRUE
56,ONGC,ONGC,130,20,110,18,TRUE
57,MCDOWELL-N,MCDOWELL-N,600,-10,610,-2,TRUE
58,GAIL,GAIL,130,10,120,8,TRUE
59,EICHERMOT,EICHERMOT,160,-20,180,-11,TRUE
60,HINDUNILVR,HINDUNILVR,1880,-140,2020,-7,TRUE
61,DRREDDY,DRREDDY,290,-40,330,-12,TRUE
62,TECHM,TECHM,690,-20,710,-3,TRUE
63,BHARTIARTL,BHARTIARTL,360,-10,370,-3,TRUE
64,COLPAL,COLPAL,1010,-120,1130,-11,TRUE
65,TCS,TCS,2280,-100,2380,-4,TRUE
66,HAVELLS,HAVELLS,670,30,640,5,TRUE
67,SBILIFE,SBILIFE,840,-30,870,-3,TRUE
68,SRTRANSFIN,SRTRANSFIN,1060,30,1030,3,TRUE
69,ASIANPAINT,ASIANPAINT,1600,40,1560,3,TRUE
70,HCLTECH,HCLTECH,1100,40,1060,4,TRUE
71,CONCOR,CONCOR,400,-80,480,-17,TRUE
72,BAJAJHLDNG,BAJAJHLDNG,340,10,330,3,TRUE
73,COALINDIA,COALINDIA,190,0,190,0,TRUE
74,INFY,INFY,710,-110,820,-13,TRUE
75,CIPLA,CIPLA,470,-20,490,-4,TRUE
76,OFSS,OFSS,310,0,310,0,TRUE
77,POWERGRID,POWERGRID,200,0,200,0,TRUE
78,NHPC,NHPC,15,-5,20,-25,TRUE
79,UPL,UPL,560,-20,580,-3,TRUE
80,TATAMTRDVR,TATAMTRDVR,60,10,50,20,TRUE
81,CADILAHC,CADILAHC,220,10,210,5,TRUE
82,BAJAJ-AUTO,BAJAJ-AUTO,2600,-30,2630,-1,TRUE
83,PAGEIND,PAGEIND,1840,-80,1920,-4,TRUE
84,MARUTI,MARUTI,650,-40,690,-6,TRUE
85,TATAMOTORS,TATAMOTORS,90,-20,110,-18,TRUE
86,MARICO,MARICO,380,10,370,3,TRUE
87,MOTHERSUMI,MOTHERSUMI,80,-30,110,-27,TRUE
88,NMDC,NMDC,80,-10,90,-11,TRUE
89,INFRATEL,INFRATEL,250,10,240,4,TRUE
90,HINDALCO,HINDALCO,180,10,170,6,TRUE
91,RELIANCE,RELIANCE,1290,-150,1440,-10,TRUE
92,WIPRO,WIPRO,250,-30,280,-11,TRUE
93,BIOCON,BIOCON,230,10,220,5,TRUE
94,AUROPHARMA,AUROPHARMA,510,180,330,55,TRUE
95,SUNPHARMA,SUNPHARMA,430,-20,450,-4,TRUE
96,HEROMOTOCO,HEROMOTOCO,300,20,280,7,TRUE
97,TATASTEEL,TATASTEEL,380,30,350,9,TRUE
98,VEDL,VEDL,120,-20,140,-14,TRUE
99,IDEA,IDEA,70,10,60,17,TRUE
100,JSWSTEEL,JSWSTEEL,230,-10,240,-4,TRUE
101,PGHH,PGHH,1010,20,990,2,TRUE
